Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000730,0,3.4547276,-76.4837228,tienda mixta,region cali
20000732,2,3.4529166,-76.48164299999998,tienda mixta,region cali
20000738,2,3.4485771,-76.4862717,tienda mixta pia,region cali
20000739,0,3.4445405,-76.52833580000002,tienda mixta y papeleria,region cali
20000740,5,3.4504302000000004,-76.48453049999998,rapitienda el mercado,region cali
20000741,8,3.4498519999999995,-76.48580419999998,tienda mixta samana,region cali
20000742,0,3.4440455,-76.48744649999998,tienda nico,region cali
20000743,7,3.4596118,-76.5150058,tienda mixta natalia,region cali
20000745,5,3.4227549,-76.51077159999998,tienda mixta,region cali
20000746,0,3.4208169,-76.5081434,tienda mixta,region cali
20000747,4,3.423407,-76.51120829999998,tienda la abuela,region cali
20000749,1,3.4234566,-76.51392270000002,tienda variedades gelita,region cali
20000750,2,3.4330123999999995,-76.5040745,tienda shopy wor,region cali
20000752,7,3.4237459,-76.509962,panaderia gustapan,region cali
20000753,0,3.4219602,-76.5121073,rapitienda moreno,region cali
20000754,0,3.4224312999999995,-76.5117416,tienda gutierrez,region cali
20000755,2,3.4219602,-76.5121073,tienda turbo,region cali
20000756,0,3.4318325,-76.493312,tienda mixta esperanza,region cali
20000757,7,3.4318325,-76.493312,tienda mixta moncha,region cali
20000758,7,3.4343894,-76.4940441,tienda clari,region cali
20000760,2,3.4325608,-76.4917822,tienda la distracción cali,region cali
20000761,4,3.4303407,-76.4843568,mercados don ricardo,region cali
20000762,0,3.422855,-76.4909097,tienda mixta,region cali
20000763,0,3.4110135,-76.4711027,tienda claudia,region cali
20000765,0,3.4247223,-76.49188509999998,tienda mixta santa,region cali
20000767,0,3.4253237000000003,-76.4939687,tienda mary,region cali
20000768,5,3.4347495,-76.4942367,tienda mixta,region cali
